person_id,birth_year,start_year,working_start_age,retirement_age,death_age,retirement_year,death_year,initial_salary,salary_growth_rate,total_earning_points,current_pension_value,annual_pension,years_in_retirement,total_pension_payout,total_contributions,balance
0,1930,1954,24,61,69,1991,1999,33390.730008183076,0.03484250789732435,96.9127520725319,14.926133389213764,1446.5326645504138,8,11572.26131640331,454711.19835410465,443138.93703770137
1,1927,1954,27,60,65,1987,1992,11742.508365045984,0.04830880728874676,36.695012451262535,13.261676191778331,486.6373729819178,5,2433.186864909589,169271.3357083309,166838.1488434213
2,1933,1954,21,65,66,1998,1999,29526.654188465585,0.007820578951355014,60.753832701958444,18.357261367239552,1115.2739859713968,1,1115.2739859713968,287105.8186944132,285990.54470844177
3,1929,1954,25,63,60,1992,1989,15454.74901621302,0.01417022549267169,28.538556316004414,15.373917390890178,0.0,0,0.0,129093.3495998919,129093.3495998919
4,1927,1954,27,63,70,1990,1997,10691.872751242472,0.03123873301291946,27.805766453446957,14.491391640013362,402.9442515276452,7,2820.6097606935164,129005.03485617568,126184.42509548216
5,1927,1954,27,60,70,1987,1997,25427.03315240835,0.03462072844310212,62.18858644801887,13.261676191778331,824.7248962980404,10,8247.248962980404,283395.02325814165,275147.77429516125
6,1934,1954,20,62,61,1996,1995,30409.22615763339,0.027524962598477153,87.81034337890705,17.30347946765911,0.0,0,0.0,420084.33370489534,420084.33370489534
7,1935,1954,19,61,67,1996,2002,38968.96099223678,0.04541986740582306,176.27275066593526,17.30347946765911,3050.131921855804,6,18300.791531134826,871271.7803484072,852970.9888172724
8,1928,1954,26,67,63,1995,1991,16926.81476866447,0.017051273301300587,34.93643963438127,16.79949462879525,0.0,0,0.0,160514.67235512394,160514.67235512394
9,1930,1954,24,65,61,1995,1991,37279.61206236346,0.017938999080000847,78.21164837364952,16.79949462879525,0.0,0,0.0,359728.8305536064,359728.8305536064
10,1929,1954,25,61,60,1990,1989,22754.67623473734,0.015397083143409443,42.91080216289332,14.491391640013362,0.0,0,0.0,194366.3210598864,194366.3210598864
11,1933,1954,21,63,60,1996,1993,33253.98470083343,0.05197494707820945,152.15507333735434,17.30347946765911,0.0,0,0.0,739560.5028328403,739560.5028328403
12,1933,1954,21,65,65,1998,1998,25625.02780077471,0.05305860121746746,154.29509766330793,18.357261367239552,2832.435435489096,0,0.0,783811.4509669194,783811.4509669194
13,1932,1954,22,59,63,1991,1995,27602.534969915447,0.0532627653632069,117.22249085874104,14.926133389213764,1749.67853477346,4,6998.71413909384,561110.9004237502,554112.1862846563
14,1929,1955,26,58,67,1987,1996,39606.608098015524,0.04361223846483287,106.9920020581106,13.261676191778331,1418.8932864047435,9,12770.039577642692,493186.2791215739,480416.2395439312
15,1930,1955,25,65,69,1995,1999,15965.272122664155,0.0405670976374325,58.52700044388693,16.79949462879525,983.2240295965757,4,3932.896118386303,285984.8806845909,282051.9845662046
16,1935,1955,20,58,69,1993,2004,12221.339552022711,0.022923286427213634,28.767700373834167,15.835134912616882,455.5404165454031,11,5010.944581999434,135470.02985782738,130459.08527582795
17,1929,1955,26,64,67,1993,1996,28698.943804826737,0.02154490124263246,65.77224932740384,15.835134912616882,1041.5124416057147,3,3124.537324817144,309190.30185565184,306065.7645308347
18,1931,1955,24,64,66,1995,1997,29977.6706985249,0.034564889385386356,96.26287792923443,16.79949462879525,1617.1677007245469,2,3234.3354014490938,466721.43834809936,463487.10294665024
19,1932,1955,23,60,59,1992,1991,21487.806242613697,0.05358560476945519,86.19318042710131,15.373917390890178,0.0,0,0.0,413808.50331795646,413808.50331795646
20,1935,1955,20,58,63,1993,1998,26838.31592708489,0.04354835899772805,96.21705057656408,15.835134912616882,1523.609976773974,5,7618.04988386987,464498.3204112946,456880.2705274247
21,1931,1955,24,66,68,1997,1999,10762.573802322855,0.010394571349665222,22.08323149331503,17.822583851688883,393.5802450058638,2,787.1604900117276,104749.05164880994,103961.89115879821
22,1931,1955,24,58,62,1989,1993,26898.26715929151,0.039775804321306375,74.62291854055125,14.069312271857633,1049.8931435844104,4,4199.5725743376415,347988.89533386304,343789.3227595254
23,1933,1955,22,64,65,1997,1998,22311.48769106889,0.04277755692715243,93.68359308701561,17.822583851688883,1669.6836933208367,1,1669.6836933208367,466464.56925296166,464794.8855596408
24,1934,1955,21,64,69,1998,2003,30843.547991191135,0.049023391950762885,157.84342481522194,18.357261367239552,2897.5730044332545,5,14487.865022166272,799273.4268246023,784785.561802436
25,1928,1955,27,66,63,1994,1991,36143.81770563153,0.045183603844955726,122.14881575892393,16.31018895999539,0.0,0,0.0,581509.2118380966,581509.2118380966
26,1934,1955,21,67,65,2001,1999,36882.7389977048,0.020900173748593195,99.72529099335772,20.05947514203957,0.0,0,0.0,487313.70029705804,487313.70029705804
27,1937,1955,18,58,67,1995,2004,29430.70361624087,0.005026018849765791,51.98825276432318,16.79949462879525,873.3763730746971,9,7860.3873576722735,241856.66061634483,233996.27325867256
28,1930,1956,26,60,65,1990,1995,14939.675594288252,0.031704470968772096,35.40886214542166,14.491391640013362,513.123688876549,5,2565.6184443827447,165641.47213904376,163075.85369466103
29,1934,1956,22,58,61,1992,1995,18082.370013955646,0.01720627611238871,35.515317915996945,15.373917390890178,546.0095637517389,3,1638.028691255217,165778.31205148785,164140.28336023263
30,1928,1956,28,63,66,1991,1994,31090.568766855336,0.0231814801189647,65.72986273573196,14.926133389213764,981.0926988482463,3,2943.278096544739,306884.9285481269,303941.65045158216
31,1938,1956,18,67,62,2005,2000,17406.281885158038,0.039815213641989415,73.00357892218449,22.577115996341544,0.0,0,0.0,371834.3965963819,371834.3965963819
32,1936,1956,20,58,63,1994,1999,18545.21483132403,0.00684434736772664,31.97664600081189,16.31018895999539,521.5451385801229,5,2607.7256929006144,149123.4168545116,146515.69116161097
33,1938,1956,18,59,60,1997,1998,22331.11039954694,0.006652536645027419,41.14291241139205,17.822583851688883,733.273006354726,1,733.273006354726,195044.92858496684,194311.65557861212
34,1938,1956,18,58,61,1996,1999,30421.163546643005,0.03154672916585682,90.51896990349748,17.30347946765911,1566.2931371588215,3,4698.879411476464,441921.08456548705,437222.20515401056
35,1929,1956,27,63,65,1992,1994,30164.066422176358,0.04308098076643588,96.67454553986416,15.373917390890178,1486.266476931722,2,2972.532953863444,464287.78475156234,461315.2517976989
36,1928,1956,28,58,64,1986,1992,21033.493981577594,0.036615291529678975,45.41517886936652,12.875413778425564,584.7392197643032,6,3508.4353185858195,207413.90517541138,203905.46985682557
37,1933,1956,23,63,69,1996,2002,34492.95619658152,0.04491725624922756,137.9647099418728,17.30347946765911,2387.2695257407404,6,14323.617154444442,685311.1215313593,670987.5043769148
38,1930,1956,26,63,61,1993,1991,27726.788295647253,0.03887821809211412,78.25840900500876,15.835134912616882,0.0,0,0.0,371394.4868347522,371394.4868347522
39,1936,1956,20,67,61,2003,1997,34285.03138419146,0.02243329936458647,86.87010815764127,21.281097178189782,0.0,0,0.0,421659.67756996094,421659.67756996094
40,1932,1956,24,61,67,1993,1999,30728.132143073977,0.02433676731502687,71.10462578523223,15.835134912616882,1125.9513422202895,6,6755.708053321737,336852.612335723,330096.90428240126
41,1937,1956,19,65,59,2002,1996,30270.70351117842,0.04176080596203861,112.73735629100145,20.66125939630076,0.0,0,0.0,557783.6236246425,557783.6236246425
42,1938,1957,19,64,68,2002,2006,17738.248831454668,0.03799920230170895,73.07968602783089,20.66125939630076,1509.9183496212304,4,6039.673398484922,378240.65928222844,372200.9858837435
43,1930,1957,27,66,62,1996,1992,25889.517350680195,0.017092614545022585,48.648187622963384,17.30347946765911,0.0,0,0.0,228127.15805685226,228127.15805685226
44,1935,1957,22,62,69,1997,2004,15661.21325024138,0.018943567629609095,35.452990616509126,17.822583851688883,631.863898055873,7,4423.047286391111,171976.31766272354,167553.27037633242
45,1937,1957,20,60,62,1997,1999,36612.592727953524,0.043993777292881196,141.84323092218742,17.822583851688883,2528.012876905155,2,5056.02575381031,711507.2226748976,706451.1969210873
46,1932,1957,25,61,69,1993,2001,38069.04982662843,0.04426703255569718,123.57716989783947,15.835134912616882,1956.8611574516658,8,15654.889259613326,600755.8041679434,585100.9149083301
47,1932,1957,25,61,61,1993,1993,21168.48299685229,0.05200667212288892,80.41159747596932,15.835134912616882,1273.3284945710172,0,0.0,393979.61843895394,393979.61843895394
48,1931,1957,26,59,60,1990,1991,24568.412607586797,0.027421207149312368,51.36466581670119,14.491391640013362,744.3454888082238,1,744.3454888082238,240266.76182713258,239522.41633832434
49,1931,1957,26,61,59,1992,1990,10542.260908465625,0.029694685759171734,22.91240724434573,15.373917390890178,0.0,0,0.0,107405.24986090766,107405.24986090766
50,1936,1957,21,65,66,2001,2002,35476.702314825336,0.03788064461501717,140.2749879737002,20.05947514203957,2813.842634308339,1,2813.842634308339,720189.7436843812,717375.9010500729
51,1939,1957,18,60,64,1999,2003,17956.071030451763,0.01719948216895418,41.475893437630326,18.907979208256734,784.225330762586,4,3136.901323050344,203253.2695790882,200116.36825603785
52,1934,1957,23,63,61,1997,1995,36761.396655313394,0.03655693129986314,111.33267399027396,17.822583851688883,0.0,0,0.0,544899.3769936684,544899.3769936684
53,1938,1957,19,62,59,2000,1997,27307.116538790775,0.029625884690943197,77.13556242127586,19.47521858450444,0.0,0,0.0,379740.5665472738,379740.5665472738
54,1935,1957,22,60,62,1995,1997,10729.478992943616,0.03727361479535839,32.98087878226689,16.79949462879525,554.06209595564,2,1108.12419191128,161556.68931233088,160448.5651204196
55,1939,1957,18,62,64,2001,2003,21104.761007663332,0.005772830826443372,40.27987610639314,20.05947514203957,807.9931734806269,2,1615.9863469612537,195998.82953672454,194382.84318976328
56,1933,1958,25,58,63,1991,1996,27168.774075125148,0.054016579185802285,90.31286999122254,14.926133389213764,1348.0219442517084,5,6740.109721258542,437358.1178522223,430618.0081309638
57,1937,1958,21,62,65,1999,2002,18054.245706704703,0.029263993713815786,51.825407104622734,18.907979208256734,979.9137199936474,3,2939.741159980942,259666.3891874983,256726.64802751737
58,1939,1958,19,66,68,2005,2007,38084.643224823434,0.03980148983374865,175.58076492022528,22.577115996341544,3964.1072963303022,2,7928.2145926606045,936404.8464163622,928476.6318237016
59,1933,1958,25,65,60,1998,1993,28450.216800975093,0.05450269250521316,106.60628136242498,18.357261367239552,0.0,0,0.0,524993.7751578059,524993.7751578059
60,1939,1958,19,67,60,2006,1999,19676.522927158017,0.04743348974623372,85.4395373818239,23.25442947623179,0.0,0,0.0,438737.3447820642,438737.3447820642
61,1932,1958,26,63,65,1995,1997,18807.7553279348,0.04546805777392568,64.87101621358495,16.79949462879525,1089.80028844461,2,2179.60057688922,321757.58954688546,319577.9889699962
62,1938,1958,20,59,67,1997,2005,28345.411325970417,0.009079709020012018,51.04159113882215,17.822583851688883,909.693037995278,8,7277.544303962224,245408.23588045538,238130.69157649315
63,1934,1958,24,66,62,2000,1996,33948.85536900326,0.03749819653888826,103.70117196001405,19.47521858450444,0.0,0,0.0,513703.95679055416,513703.95679055416
64,1938,1958,20,64,70,2002,2008,27365.94686522676,0.02692370615090435,82.23706983588517,20.66125939630076,1699.1214318709242,6,10194.728591225545,419455.8846805506,409261.1560893251
65,1935,1958,23,60,67,1995,2002,14651.248501832326,0.054092044415526556,60.62279700994348,16.79949462879525,1018.4323527510903,7,7129.026469257632,303422.2300672797,296293.20359802205
66,1935,1958,23,67,68,2002,2003,10915.007498171482,0.006867409437460721,21.07577957726567,20.66125939630076,435.452148825144,1,435.452148825144,103880.15866331574,103444.7065144906
